Q-TABLE EXPORT
==============

Goal Hash: -1644042410
Generated: Tue May 27 22:49:57 CEST 2025
State Space Size: 1024
Action Space Size: 8

State\Action          A0          A1          A2          A3          A4          A5          A6          A7
------------------------------------------------------------------------------------------------------------
S0              0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S1              0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S2              0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S3              0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S4              0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S5              0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S6              0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S7              0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S8              0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S9              0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S10             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S11             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S12             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S13             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S14             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S15             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S16             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S17             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S18             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S19             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S20             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S21             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S22             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S23             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S24             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S25             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S26             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S27             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S28             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S29             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S30             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S31             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S32             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S33             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S34             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S35             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S36             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S37             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S38             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S39             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S40             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S41             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S42             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S43             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S44             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S45             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S46             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S47             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S48             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S49             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000

... (showing first 50 states of 1024 total)
